Country/Region,Continent,Population,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop,WHO Region
Timor-Leste,Asia,1323561,27,,,,26,,1,,20,,5146,3888,South-EastAsia
New Caledonia,Australia/Oceania,286069,26,,,,26,,0,,91,,13463,47062,
Dominica,North America,72024,24,,,,18,,6,,333,,2077,28838,Americas
Grenada,North America,112633,24,,,,24,,0,,213,,6252,55508,Americas
Laos,Asia,7297293,23,,,,22,,1,,3,,45351,6215,WesternPacific
St. Barth,North America,9883,23,,,,16,,7,,2327,,2075,209956,
Saint Kitts and Nevis,North America,53278,17,,,,17,,0,,319,,1948,36563,Americas
Greenland,North America,56791,14,,,,14,,0,,247,,7252,127696,Europe
Montserrat,North America,4993,13,,1,,12,,0,,2604,200,373,74705,
Falkland Islands,South America,3500,13,,,,13,,0,,3714,,2261,646000,
